geoid	n_registered	share_dem	share_rep	share_white	share_afam	share_female	avg_hhincome	avg_popdens	avg_partyscore	avg_collegescore	avg_gunownscore	avg_gvpscore	avg_churchscore	avg_marijuanascore	avg_fiscalprogscore	avg_choicescore	avg_enviroscore
2302100100	450	0.207	0.413	0.953	0.002	0.504	41.03	81.967	40.137	33.673	68.418	23.165	23.71	54.763	24.368	42.687	20.035
2303100275	1905	0.27	0.316	0.927	0.006	0.493	72.358	406.412	42.668	43.955	60.22	29.071	23.037	63.063	29.105	55.195	25.557
2302900380	844	0.262	0.379	0.947	0.004	0.519	62.874	135.724	37.743	40.843	67.649	25.181	28.313	58.456	27.567	48.887	23.19
2301100590	1394	0.244	0.37	0.952	0.001	0.479	70.391	153.811	39.703	36.418	68.423	24.403	24.498	60.077	26.337	50.523	21.824
2302900660	374	0.257	0.329	0.955	0.011	0.476	44.395	133.396	43.884	41.506	70.698	23.934	24.434	62.467	28.598	52.162	23.616
2303100730	2287	0.282	0.272	0.932	0.001	0.507	60.793	262.589	48.724	43.263	55.856	35.669	22.985	62.2	30.863	56.128	28.127
2300300800	239	0.423	0.222	0.941	0.008	0.481	35.674	50.485	55.344	35.083	60.544	36.035	23.595	58.624	35.802	46.896	22.476
2301501010	600	0.34	0.273	0.873	0.005	0.523	68.835	426.215	51.308	54.305	63.084	38.737	23.699	65.426	34.673	62.044	34
2301901115	634	0.287	0.287	0.931	0.008	0.481	45.878	93.817	48.359	34.757	70.975	29.447	22.157	66.512	30.165	54.026	27.774
2300901185	213	0.263	0.38	0.892	0	0.46	53.259	333.587	42.551	40.444	66.652	26.355	24.603	61.319	27.988	51.394	25.796
2300301220	137	0.248	0.321	0.927	0.007	0.474	94.717	66.409	42.986	40.962	64.522	25.032	25.73	56.894	27.657	42.094	23.107
2301701325	658	0.216	0.275	0.938	0.005	0.48	21.752	70.416	45.498	40.349	66.189	27.603	24.133	64.029	33.626	50.989	26.874
2302501395	1583	0.248	0.288	0.94	0.004	0.511	25.23	86.824	45.787	34.142	62.54	24.71	23.391	63.101	32.385	43.995	23.875
2301301465	963	0.321	0.286	0.939	0.004	0.486	63.082	173.974	50.149	42.185	71.024	37.369	23.938	66.044	32.94	57.287	31.179
2302301570	411	0.484	0.2	0.91	0	0.484	33.415	167.034	62.156	65.029	52.881	57.52	20.098	69.783	43.886	73.475	41.139
2303101605	3143	0.281	0.261	0.942	0.006	0.502	79.205	366.533	46.618	46.746	55.036	35.6	22.304	66.994	30.339	58.261	27.363
2300301710	854	0.311	0.208	0.947	0.002	0.507	31.387	35.02	55.436	34.671	62.453	32.842	21.477	58.909	37.495	47.675	24.638
2302501885	719	0.321	0.242	0.94	0.001	0.51	24.876	78.452	49.603	34.373	70.632	25.05	24.073	64.301	31.66	43.05	23.187
2302101920	218	0.284	0.317	0.95	0	0.454	25.548	124.977	42.867	33.815	67.988	25.41	26.097	55.616	26.981	44.447	22.906
2300102060	15588	0.322	0.236	0.92	0.006	0.522	43.059	2275.961	53.654	46.739	38.857	44.036	22.662	66.434	33.952	60.117	29.079
2301102100	13124	0.349	0.267	0.915	0.005	0.524	33.951	1405.75	53.838	43.778	39.154	44.505	22.368	66.083	33.712	58.622	30.998
2300902165	86	0.186	0.43	0.919	0.012	0.442	61.151	103.209	36.83	37.694	68.641	22.281	23.304	60.144	26.533	47.681	21.398
2300702235	352	0.259	0.31	0.932	0.006	0.543	25.687	174.134	46.074	40.278	63.629	27.046	24.352	60.859	30.575	51.354	27.668
2302902480	984	0.292	0.256	0.965	0.002	0.491	34.805	122.704	49.039	38.265	58.5	28.925	21.802	65.058	31.673	53.072	26.638
2300502655	1192	0.216	0.357	0.928	0.003	0.501	36.914	200.353	40.987	39.119	64.252	26.56	23.756	60.674	26.696	51.208	25.268
2301902795	22308	0.328	0.249	0.915	0.006	0.514	37.88	3229.321	54.914	52.056	34.605	49.573	22.656	69.45	34.78	62.847	33.637
2300902865	4342	0.436	0.197	0.903	0.007	0.521	64.717	941.009	62.623	63.585	35.713	58.715	20.179	74.399	41.279	71.715	41.967
2302902970	157	0.331	0.306	0.917	0	0.471	38.402	56.408	47.102	38.561	64.57	28.767	24.596	64.219	31.226	53.074	25.455
2302303355	6459	0.366	0.236	0.921	0.007	0.532	36.391	1904.923	55.872	52.004	37.347	49.184	21.887	67.97	36.016	63.574	34.811
2302903670	359	0.387	0.267	0.944	0.014	0.499	64.114	87.886	48.289	39.999	61.144	33.968	25.547	60.015	34.523	51.906	23.587
2302103740	119	0.176	0.345	0.908	0	0.496	21.444	26.101	39.981	44.985	58.611	28.803	25.789	52.861	29.149	44.089	23.083
2302903810	46	0.174	0.304	0.978	0	0.478	44.73	79.826	42.308	40.737	70.329	22.09	24.926	61.291	29.751	49.098	26.056
2302703950	5045	0.386	0.247	0.928	0.004	0.546	33.2	850.684	57.423	50.557	44.344	50.386	23.182	65.319	37.384	62.947	35.249
2301104020	2472	0.26	0.324	0.927	0.004	0.509	93.747	179.199	46.497	47.758	62.063	37.991	24.605	63.266	32.092	57.813	28.017
2302704125	686	0.246	0.331	0.948	0.003	0.515	53.673	155.99	45.78	36.63	62.532	29.93	23.141	62.027	28.482	53.693	27.267
2301104475	1866	0.262	0.312	0.912	0.01	0.512	48.071	245.685	47.344	32.024	63.069	31.496	23.472	62.28	29.305	52.646	22.933
2303104720	5353	0.226	0.245	0.923	0.003	0.508	74.605	460.279	45.715	44.764	51.581	34.012	21.64	65.845	28.366	56.249	27.261
2301704825	2123	0.259	0.283	0.943	0.002	0.507	25.747	142.723	49.792	47.894	58.719	37.695	24.114	65.019	34.443	57.749	30.234
2303104860	13687	0.482	0.156	0.924	0.004	0.527	50.481	3977.903	63.083	47.044	34.126	50.87	21.863	69.224	38.147	63.549	33.558
2302505000	692	0.263	0.29	0.948	0.001	0.519	21.508	27.224	46.715	37.834	60.822	28.886	24.356	61.393	32.282	42.298	23.352
2300305385	644	0.18	0.453	0.949	0.003	0.52	25.563	41.988	34.719	38.817	63.43	20.993	28.085	52.213	27.252	38.065	20.671
2300905700	2330	0.413	0.26	0.954	0.006	0.533	24.88	284.398	55.886	54.336	47.283	47.358	21.64	66.392	40.243	65.096	35.692
2301506050	2525	0.264	0.345	0.936	0.002	0.502	65.63	185.537	46.844	50.155	56.154	40.749	24.958	60.819	34.601	59.163	28.519
2301506120	1736	0.301	0.333	0.94	0.002	0.533	28.965	639.841	49.355	59.632	42.772	49.918	25.124	60.41	34.998	63.426	30.883
2302306260	2357	0.227	0.308	0.929	0.001	0.515	36.291	170.596	43.111	40.914	67.75	27.302	23.612	63.838	28.014	52.648	27.53
2302306365	2278	0.315	0.257	0.926	0.003	0.496	35.59	359.291	50.962	50.145	63.127	39.944	21.96	68.61	34.537	61.805	33.104
2302106400	101	0.198	0.436	0.901	0	0.495	48.919	111.168	32.928	40.862	66.944	23.535	24.367	52.323	22.321	43.858	17.316
2301906575	847	0.197	0.328	0.941	0.004	0.483	55.235	138.017	40.985	36.976	66.471	26.237	24.637	63.5	26.805	50.444	20.837
2301906680	1099	0.401	0.232	0.925	0.002	0.541	61.283	122.645	53.275	38.979	58.6	31.59	21.789	67.135	34.885	55.655	26.517
2301506855	634	0.352	0.273	0.918	0.003	0.528	93.5	210.055	50.959	51.698	60.654	41.678	23.851	63.117	36.387	60.21	30.753
2301906925	6926	0.288	0.351	0.936	0.003	0.527	54.507	1698.273	44.111	50.145	42.038	39.349	25.634	62.968	28.549	57.768	26.635
2300307065	386	0.215	0.425	0.948	0.008	0.526	36.194	49.808	40.23	33.985	63.527	25.781	28.209	52.764	28.381	40.687	21.324
2300507170	4019	0.262	0.308	0.939	0.005	0.511	40.917	347.98	47.548	45.423	46.666	38.231	23.348	62.388	29.282	55.212	30.506
2302507380	62	0.242	0.161	0.952	0.016	0.435	24.077	13.565	52.857	32.566	66.038	26.168	21.005	65.954	42.674	41.248	27.762
2301507485	2238	0.298	0.328	0.937	0.003	0.508	81.188	201.597	46.772	57.136	55.245	42.048	22.445	61.241	33.299	62.192	29.334
2300907800	745	0.373	0.256	0.938	0.004	0.521	95.102	299.542	59.921	56.146	51.991	51.424	23.429	64.491	40.93	65.932	39.443
2302707870	644	0.239	0.382	0.952	0.005	0.491	25.31	84.458	42.014	41.927	66.108	26.146	24.799	59.428	28.324	51.292	27.863
2300907975	802	0.393	0.249	0.923	0.002	0.516	56.556	446.985	55.484	58.195	61.1	47.993	23.423	65.233	38.337	65.861	37.458
2301708150	1062	0.265	0.25	0.94	0.002	0.508	22.476	169.958	49.697	39.594	67.189	31.952	21.063	64.876	33.918	56.004	28.231
2302108325	961	0.286	0.275	0.953	0.008	0.461	54.764	56.843	44.198	34.003	65.664	23.809	22.111	57.544	29.908	43.462	22.476
2300508430	17129	0.416	0.203	0.892	0.006	0.526	57.533	1842.574	60.886	58.378	33.716	55.122	21.602	69.953	38.804	67.615	40.298
2301708710	1340	0.194	0.254	0.954	0.001	0.493	21.971	143.646	48.131	36.879	70.937	31.439	22.533	66.857	31.215	54.77	27.686
2300908815	3739	0.276	0.293	0.943	0.004	0.516	40.248	247.614	46.364	41.334	54.368	34.434	22.154	64.095	30.164	53.907	26.906
2301909200	274	0.234	0.277	0.934	0	0.482	21.979	32.593	42.972	35.501	66.112	23.636	27.022	59.402	29.653	45.529	24.365
2302709270	856	0.21	0.251	0.924	0.007	0.467	26.638	77.805	47.288	32.749	70.515	27.952	21.331	65.825	29.329	51.617	24.653
2303109410	5897	0.277	0.306	0.926	0.004	0.506	64.505	405.884	45.183	44.982	58.709	34.013	22.725	65.886	28.428	57.898	24.739
2301709550	120	0.35	0.225	0.942	0	0.433	32.108	53.025	52.082	34.626	66.871	29.319	19.52	66.911	34.464	54.952	24.045
2302909585	2092	0.231	0.336	0.944	0.004	0.52	25.269	746.311	42.935	41.658	47.866	32.663	24.42	61.503	26.954	50.945	22.249
2302509655	338	0.201	0.417	0.944	0.003	0.467	21.939	33.941	34.945	30.937	69.998	18.766	26.736	58.298	22.604	39.092	19.745
2301309725	4094	0.463	0.223	0.927	0.005	0.542	38.272	1191.578	60.949	64.674	34.589	61.39	21.996	67.129	41.977	72.03	37.844
2302509935	1494	0.327	0.288	0.95	0.007	0.501	26.202	125.687	49.953	37.131	65.551	27.232	22.605	65.338	33.443	47.497	26.182
2301710005	779	0.295	0.271	0.913	0.008	0.501	22.342	87.906	48.985	36.858	65.383	29.422	23.233	62.729	33.509	51.698	26.341
2300510180	7845	0.425	0.26	0.908	0.003	0.512	112.256	1269.03	56.353	79.324	30.256	60.422	23.467	67.568	36.533	74.723	37.55
2302510495	58	0.259	0.448	1	0	0.552	27	0	36.139	42.046	63.467	23.991	30.723	59.656	27.756	40.37	20.405
2300310565	5857	0.295	0.295	0.941	0.006	0.513	30.861	819.164	47.033	42.512	50.05	31.798	24.633	56.794	30.511	45.545	24.307
2301910670	1850	0.205	0.352	0.952	0.003	0.502	65.805	198.311	37.432	36.093	67.447	24.335	23.894	61.115	25.556	49.916	20.306
2300710740	653	0.294	0.306	0.911	0.006	0.449	31.067	130.997	49.232	56.031	58.806	38.782	22.074	66.821	33.886	62.754	30.593
2301910810	118	0.144	0.39	0.924	0	0.492	46.681	61.703	33.654	32.454	66.341	19.282	23.701	56.91	24.28	47.23	18.402
2300710915	371	0.288	0.224	0.916	0.013	0.48	31.603	39.45	48.069	37.894	66.491	27.783	21.558	62.565	30.639	53.14	24.887
2300311020	151	0.185	0.371	0.907	0.013	0.49	62.77	116.45	43.824	33.309	64.697	27.339	29.018	51.613	28.931	40.795	21.261
