county	township	geoid
ANDROSCOGGIN	AUBURN	2300102060
ANDROSCOGGIN	DURHAM	2300119105
ANDROSCOGGIN	GREENE	2300129255
ANDROSCOGGIN	LEEDS	2300138565
ANDROSCOGGIN	LEWISTON	2300138740
ANDROSCOGGIN	LISBON	2300140035
ANDROSCOGGIN	LIVERMORE	2300140665
ANDROSCOGGIN	LIVERMORE FALLS	2300140770
ANDROSCOGGIN	MECHANIC FALLS	2300144585
ANDROSCOGGIN	MINOT	2300146160
ANDROSCOGGIN	POLAND	2300160020
ANDROSCOGGIN	SABATTUS	2300164570
ANDROSCOGGIN	TURNER	2300177800
ANDROSCOGGIN	WALES	2300179585
AROOSTOOK	ALLAGASH	2300300800
AROOSTOOK	AMITY	2300301220
AROOSTOOK	ASHLAND	2300301710
AROOSTOOK	BENEDICTA TWP	
AROOSTOOK	BLAINE	2300305385
AROOSTOOK	BRIDGEWATER	2300307065
AROOSTOOK	CARIBOU	2300310565
AROOSTOOK	CARY PLT	2300311020
AROOSTOOK	CASTLE HILL	2300311300
AROOSTOOK	CASWELL	2300311335
AROOSTOOK	CHAPMAN	2300312000
AROOSTOOK	CONNOR TWP	2300313900
AROOSTOOK	CROSS LAKE TWP (T17 R5)	
AROOSTOOK	CRYSTAL	2300315395
AROOSTOOK	CYR PLT	2300315990
AROOSTOOK	DYER BROOK	2300319210
AROOSTOOK	EAGLE LAKE	2300319420
AROOSTOOK	EASTON	2300321380
AROOSTOOK	FORT FAIRFIELD	2300325615
AROOSTOOK	FORT KENT	2300325755
AROOSTOOK	FRENCHVILLE	2300326735
AROOSTOOK	GARFIELD PLT	2300327120
AROOSTOOK	GLENWOOD PLT	2300327855
AROOSTOOK	GRAND ISLE	2300328590
AROOSTOOK	HAMLIN	2300330690
AROOSTOOK	HAMMOND	2300330725
AROOSTOOK	HAYNESVILLE	2300332195
AROOSTOOK	HERSEY	2300332685
AROOSTOOK	HODGDON	2300333385
AROOSTOOK	HOULTON	2300333980
AROOSTOOK	ISLAND FALLS	2300335065
AROOSTOOK	LIMESTONE	2300339300
AROOSTOOK	LINNEUS	2300339965
AROOSTOOK	LITTLETON	2300340595
AROOSTOOK	LUDLOW	2300341715
AROOSTOOK	MACWAHOC PLT	2300342450
AROOSTOOK	MADAWASKA	2300342520
AROOSTOOK	MADAWASKA LAKE TWP (T16 R4)	
AROOSTOOK	MAPLETON	2300343255
AROOSTOOK	MARS HILL	2300343710
AROOSTOOK	MASARDIS	2300343990
AROOSTOOK	MERRILL	2300345180
AROOSTOOK	MONTICELLO	2300346685
AROOSTOOK	MORO PLT	2300347175
AROOSTOOK	NASHVILLE PLT	2300348120
AROOSTOOK	NEW CANADA	2300348575
AROOSTOOK	NEW LIMERICK	2300348960
AROOSTOOK	NEW SWEDEN	2300349415
AROOSTOOK	OAKFIELD	2300354385
AROOSTOOK	ORIENT	2300355435
AROOSTOOK	OXBOW PLT	2300356205
AROOSTOOK	PERHAM	2300358060
AROOSTOOK	PORTAGE LAKE	2300360300
AROOSTOOK	PRESQUE ISLE	2300360825
AROOSTOOK	REED PLT	2300362400
AROOSTOOK	SAINT AGATHA	2300364780
AROOSTOOK	SAINT FRANCIS	2300365025
AROOSTOOK	SAINT JOHN PLT	2300365200
AROOSTOOK	SHERMAN	2300367790
AROOSTOOK	SILVER RIDGE TWP	
AROOSTOOK	SINCLAIR (T17 R4)	
AROOSTOOK	SMYRNA	2300369260
AROOSTOOK	STOCKHOLM	2300374405
AROOSTOOK	VAN BUREN	2300378570
AROOSTOOK	WADE	2300379270
AROOSTOOK	WALLAGRASS	2300379865
AROOSTOOK	WASHBURN	2300380285
AROOSTOOK	WESTFIELD	2300382770
AROOSTOOK	WESTMANLAND	2300383540
AROOSTOOK	WESTON	2300383785
AROOSTOOK	WINTERVILLE PLT	2300386865
AROOSTOOK	WOODLAND	2300387215
CUMBERLAND	BALDWIN	2300502655
CUMBERLAND	BRIDGTON	2300507170
CUMBERLAND	BRUNSWICK	2300508430
CUMBERLAND	CAPE ELIZABETH	2300510180
CUMBERLAND	CASCO	2300511125
CUMBERLAND	CHEBEAGUE ISLAND	2300512300
CUMBERLAND	CUMBERLAND	2300515430
CUMBERLAND	FALMOUTH	2300524495
CUMBERLAND	FREEPORT	2300526525
CUMBERLAND	FRYE ISLAND	2300527025
CUMBERLAND	GORHAM	2300528240
CUMBERLAND	GRAY	2300528870
CUMBERLAND	HARPSWELL	2300531390
CUMBERLAND	HARRISON	2300531600
CUMBERLAND	LONG ISLAND	2300541067
CUMBERLAND	NAPLES	2300548085
CUMBERLAND	NEW GLOUCESTER	2300548820
CUMBERLAND	NORTH YARMOUTH	2300553860
