geoid	proj_votes	proj_mw_yes	proj_bg_yes	proj_rcv_yes
2300179585	829	448	416	445
2300177800	3221	1853	1610	1780
2300164570	2658	1647	1436	1483
2300160020	3082	1830	1553	1707
2300146160	1521	886	749	876
2300144585	1496	894	746	816
2300140770	1311	877	663	769
2300140665	1333	809	678	764
2300140035	4817	2826	2576	2719
2300138740	16794	11105	10039	10149
2300138565	1265	803	654	719
2300129255	2463	1493	1289	1351
2300119105	2430	1405	1275	1400
2300102060	11285	7195	6489	6596
2300387215	661	390	283	339
2300386865	133	92	71	76
2300383785	177	106	76	91
2300383540	44	26	20	22
2300382770	261	168	128	150
2300380285	753	487	357	391
2300379865	294	191	166	174
2300379270	142	79	62	68
2300378570	1000	694	522	606
2300374405	162	100	80	84
2300369260	122	78	60	69
2300367790	455	237	206	244
2300365200	155	99	89	84
2300365025	267	180	154	148
2300364780	463	311	251	271
2300362400	83	49	34	41
2300360825	4261	2775	2201	2409
2300360300	252	167	124	132
2300358060	202	112	85	98
2300356205	42	26	19	26
2300355435	85	52	37	45
2300354385	396	241	183	207
2300349415	372	213	177	189
2300348960	317	183	138	157
2300348575	154	93	81	85
2300348120	24	16	12	13
2300347175	28	14	10	14
2300346685	416	243	188	209
2300345180	119	71	55	65
2300343990	130	82	62	75
2300343710	725	434	344	374
2300343255	1063	616	473	560
2300342520	2236	1612	1165	1466
2300342450	45	29	21	24
2300341715	229	132	97	117
2300340595	454	276	198	233
2300339965	432	247	189	217
2300339300	949	611	461	539
2300335065	399	258	195	209
2300333980	2493	1547	1202	1430
2300333385	657	356	260	319
2300332685	39	21	16	19
2300332195	45	28	21	24
2300330725	44	26	19	22
2300330690	94	59	44	51
2300328590	222	168	126	141
2300327855	2	1	1	1
2300327120	49	28	21	26
2300326735	588	411	309	336
2300325755	2104	1364	1129	1265
2300325615	1642	1074	827	941
2300321380	652	390	310	333
2300319420	457	321	247	269
2300319210	138	85	64	73
2300315990	47	29	23	23
2300315395	142	83	62	69
2300313900	201	126	99	106
2300312000	247	159	123	143
2300311335	152	100	74	86
2300311300	231	132	102	120
2300311020	110	69	47	56
2300310565	3909	2396	2020	2166
2300307065	290	176	135	151
2300305385	427	268	209	201
2300301710	605	409	318	344
2300301220	104	61	44	54
2300300800	165	111	82	98
2300587845	5374	3453	3436	3277
2300586025	9069	5464	4993	5237
2300582105	8804	5670	5114	5404
2300573670	5131	3029	2631	2858
2300571990	14144	9655	9058	8910
2300566775	1105	642	574	609
2300566145	11966	7626	7409	6957
2300561945	2651	1538	1467	1501
2300560685	1011	641	521	630
2300560545	36475	25855	24498	25178
2300553860	2477	1502	1492	1460
2300548820	3112	1824	1548	1791
2300548085	2157	1318	1214	1242
2300541067	183	107	112	119
2300531600	1419	895	748	799
2300531390	3205	2122	1950	2025
2300528870	4523	2508	2357	2644
2300528240	9232	5677	5330	5389
2300527025	79	51	38	51
2300526525	5108	3322	3121	3205
2300524495	7440	4543	4785	4379
2300515430	5040	2752	3074	2794
2300512300	294	175	196	186
2300511125	2036	1232	1071	1172
2300510180	6262	4079	4201	3946
2300508430	12018	8146	7662	7736
2300507170	2870	1753	1531	1690
2300502655	891	461	441	464
2300785850	2122	1289	1103	1166
2300781300	299	186	118	169
2300775980	324	210	167	192
2300774825	735	401	326	366
2300765655	83	55	43	48
2300761875	149	96	76	87
2300761840	759	485	402	443
2300758445	630	379	293	353
2300749520	434	221	193	228
2300749345	911	528	436	519
2300737025	796	470	404	423
2300735625	2522	1686	1299	1562
2300734820	490	279	237	264
2300724775	3971	2419	2107	2267
2300724005	401	257	192	230
2300716165	186	123	95	112
2300714205	98	62	46	55
2300712595	711	426	343	396
2300710915	275	174	105	154
2300710740	491	325	260	290
2300702235	254	151	121	136
2300986655	291	172	144	158
2300980040	204	108	86	100
2300978925	301	194	139	173
2300977415	839	521	408	490
2300977345	778	532	416	468
2300975455	238	132	116	126
2300975280	939	591	505	555
2300974965	620	400	338	365
2300974580	592	428	322	376
2300972865	1059	695	597	685
2300969750	200	130	114	118
2300967300	728	457	368	483
2300957920	774	494	414	452
2300955890	425	230	163	225
2300955855	40	21	16	20
2300955505	1245	812	614	708
2300947630	1390	849	906	876
2300943430	274	157	125	147
2300938180	1079	640	535	621
2300930970	1285	759	669	722
2300928975	31	18	13	15
2300928450	1009	623	510	594
2300926595	26	17	13	14
2300926350	750	457	396	405
2300923200	4139	2469	2034	2321
2300919770	237	145	111	121
2300917145	1169	775	695	736
2300916935	1016	578	505	563
2300914905	145	91	73	87
2300911265	579	400	365	358
2300908815	2574	1543	1209	1418
2300907975	630	434	369	406
2300907800	569	415	341	377
2300905700	1716	1129	956	1085
2300902865	3099	2122	2071	2067
2300902165	66	37	27	30
2300901185	163	95	75	84
2301186970	3507	2107	1959	2064
2301186515	4292	2756	2329	2517
2301186165	1328	768	616	704
2301182945	2114	1261	1066	1127
2301180880	761	467	425	454
2301180740	7406	5140	4281	4759
2301179025	357	233	197	225
2301178745	2355	1493	1217	1346
2301168385	2448	1393	1168	1454
2301163835	604	387	318	359
2301162190	1603	981	837	908
2301161700	944	595	452	574
2301159110	1633	934	843	939
2301154560	3279	1924	1656	1852
2301147770	1017	629	524	607
2301146405	2323	1354	1198	1283
2301143080	1600	949	855	866
2301140175	1944	1163	911	1085
2301130550	1542	1080	959	1031
2301127085	3071	1943	1666	1795
2301124950	722	449	329	424
2301124670	1626	1005	870	932
2301113470	1653	1022	760	958
2301112735	2255	1242	1071	1267
2301112350	1398	841	715	811
2301104475	1466	904	715	810
2301104020	1926	1148	997	1079
2301102100	9177	6083	5043	5498
2301100590	1083	566	445	572
2301380425	885	526	371	505
2301380215	1938	1116	858	1044
2301379130	729	471	428	488
2301378115	1343	712	653	755
2301376365	1422	945	746	856
2301372585	888	583	484	512
2301365130	1581	1084	840	979
2301363660	2148	1392	1229	1279
2301363590	3396	2343	1927	2140
2301356135	968	619	521	572
2301351620	277	203	165	203
2301344165	53	38	29	34
2301335135	56	42	32	38
2301333840	936	578	496	536
