geoid	rcv_yes	rcv_no	mw_yes	mw_no	bg_yes	bg_no
2300102060	6166	5537	6408	5441	5975	5882
2300119105	470	497	520	459	405	575
2300129255	1046	1494	1084	1493	836	1749
2300138565	564	718	552	741	342	948
2300138740	8972	7696	9832	7117	9309	7664
2300140035	2344	2479	2250	2625	1826	3072
2300140770	729	726	773	693	444	1029
2300144585	658	881	717	855	543	1025
2300146160	671	984	697	976	604	1070
2300160020	1531	1698	1600	1669	1227	2045
2300177800	1352	1959	1389	1972	1049	2312
2300179585	325	541	311	569	237	648
2300301220	40	82	65	57	20	103
2300301710	243	344	314	288	150	452
2300305385	126	248	164	227	84	321
2300307065	120	181	146	160	75	236
2300310565	1805	2139	2185	1836	1700	2332
2300311300	90	136	115	114	67	163
2300311335	53	88	92	56	49	97
2300312000	118	152	130	144	64	210
2300315990	19	30	31	21	12	40
2300319210	59	85	66	78	27	121
2300319420	236	217	304	162	199	267
2300321380	265	395	308	361	173	501
2300325615	741	909	923	752	590	1083
2300325755	1047	1037	1246	880	996	1130
2300326735	321	285	379	236	247	369
2300327120	22	30	25	27	9	42
2300327855	1	1	2	0	0	2
2300328590	115	109	162	66	82	146
2300330690	30	71	51	51	29	72
2300330725	26	24	27	23	11	39
2300332195	20	28	20	29	6	44
2300332685	11	24	13	21	2	32
2300333385	232	434	264	414	122	561
2300333980	1170	1455	1425	1273	874	1837
2300335065	142	261	183	231	111	300
2300339300	383	408	474	327	325	474
2300339965	189	270	215	255	90	388
2300340595	189	293	234	262	119	378
2300341715	87	139	110	120	48	184
2300342450	13	29	18	25	3	41
2300342520	1198	905	1472	675	1058	1102
2300343255	442	679	455	678	293	845
2300343710	290	485	333	454	215	572
2300343990	63	61	72	55	19	110
2300345180	54	79	66	70	36	100
2300346685	184	230	199	220	71	349
2300347175	2	25	9	18	5	22
2300348120	9	11	9	11	8	12
2300348575	132	143	130	106	125	157
2300349415	175	190	220	155	147	224
2300355435	32	54	47	41	18	71
2300356205	11	26	17	20	5	32
2300358060	62	135	96	107	49	154
2300360300	100	153	132	124	69	187
2300360825	1923	2322	2246	2056	1700	2622
2300362400	31	45	40	38	18	61
2300364780	318	244	406	170	236	342
2300365025	130	96	161	81	90	154
2300365200	84	75	102	59	72	91
2300367790	220	414	267	372	116	524
2300369260	48	101	81	72	37	115
2300374405	62	90	67	89	47	107
2300378570	449	457	637	312	485	460
2300379270	59	85	63	83	38	108
2300379865	151	136	183	114	135	161
2300380285	328	501	434	408	279	568
2300382770	117	134	140	113	70	180
2300383540	17	30	28	20	17	31
2300383785	71	105	100	83	46	136
2300386865	59	70	76	56	48	85
2300387215	288	362	326	345	181	491
2300502655	346	543	415	493	249	665
2300507170	1535	1391	1624	1341	1298	1687
2300508430	7800	4647	8505	4161	8652	4087
2300510180	4072	2342	4257	2247	5105	1424
2300511125	1041	1053	1135	991	826	1306
2300512300	199	116	227	92	240	80
2300515430	3091	2269	3115	2347	3761	1727
2300524495	4552	3404	4672	3407	5900	2222
2300526525	3349	2104	3389	2143	3592	1952
2300527025	27	47	42	34	51	25
2300528240	5285	4325	5237	4537	5532	4295
2300528870	2372	2444	2464	2411	2099	2796
2300531390	1817	1572	2099	1349	2028	1429
2300531600	698	752	789	683	535	946
2300541067	103	68	114	58	127	46
2300548085	1075	1198	1187	1127	882	1439
2300548820	1591	1710	1575	1768	1351	1998
2300553860	1448	1152	1514	1118	1580	1060
2300560545	26416	10515	27034	10522	29683	8023
2300560685	577	488	586	492	543	541
2300561945	1426	1429	1481	1397	1274	1607
2300566145	5246	4629	5288	4759	6364	3732
2300566775	520	577	571	555	391	739
2300571990	9297	5196	9724	4990	10771	4034
2300573670	2546	2884	2824	2668	2255	3253
2300582105	5657	3958	5976	3850	6059	3783
2300586025	4911	4896	5047	4949	4702	5328
2300587845	2532	2041	3558	2081	3394	1520
2300702235	110	133	116	129	49	197
